beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
2,True,4,499201,29.79082643983669,2414344,-95.3705671461471,97,132,Entire home/apt,5.0
1,True,4,15845314,29.750208853322718,5396686,-95.35526690564983,115,84,Entire home/apt,5.0
8,True,4,9131137,29.770576593638808,5945476,-95.41851346518119,295,62,Entire home/apt,5.0
3,False,4,56551071,29.921449541921703,13657194,-95.59780229378624,225,0,Entire home/apt,0.0
2,False,4,26168561,29.698604867496684,5067703,-95.4180641918868,90,16,Entire home/apt,5.0
4,False,4,22623861,29.751712290997084,6912011,-95.36852571595736,218,55,Entire home/apt,5.0
2,False,4,22924046,29.74466440467184,5250771,-95.4039690558919,129,64,Entire home/apt,5.0
3,True,4,53876479,29.764941910040736,13559901,-95.41118600032507,165,2,Entire home/apt,0.0
1,True,4,75292905,29.751456061511025,13317543,-95.35389787069538,110,5,Entire home/apt,4.5
2,False,4,16533520,29.735942255987986,12543212,-95.41466041853599,118,8,Entire home/apt,5.0
2,True,4,22814626,29.74786989291395,6166415,-95.38437557826413,80,87,Entire home/apt,4.5
3,True,4,281423,29.74021575158309,13587841,-95.43906365438806,145,5,Entire home/apt,4.5
3,False,4,6521790,29.753297120223078,1782044,-95.39764475932498,170,142,Entire home/apt,4.5
2,False,4,27269480,29.738550089430273,13026460,-95.52713886118954,84,3,Entire home/apt,5.0
3,False,4,77552143,29.6986045433278,13511178,-95.64010888202476,78,0,Entire home/apt,0.0
4,False,4,12061005,29.74710449300587,9195158,-95.38200836594322,200,42,Entire home/apt,5.0
2,True,4,51562417,29.950259430264285,13050776,-95.54668311538944,89,0,Entire home/apt,0.0
1,True,4,39170287,29.739503478873704,7480926,-95.444482520778,109,49,Entire home/apt,4.5
2,False,4,3905103,29.696874764334815,6671751,-95.41052162955214,96,24,Entire home/apt,5.0
2,False,4,38513394,29.739344685158155,7357533,-95.37119582070079,135,32,Entire home/apt,5.0
1,True,4,8369519,29.70026585493419,8822609,-95.42060442627049,109,37,Entire home/apt,5.0
2,True,4,11064031,29.78770560919218,8808894,-95.4052107795491,110,44,Entire home/apt,5.0
10,False,4,27528196,29.746093340131672,11496333,-95.46424691168073,167,0,Entire home/apt,0.0
3,False,4,11290387,29.77746611650514,6131689,-95.3919089893962,139,11,Entire home/apt,4.5
3,False,4,13775568,29.744366494777374,2691575,-95.38722728918162,109,22,Entire home/apt,5.0
1,False,4,21733507,29.74121674363887,4223309,-95.40350299332033,195,135,Entire home/apt,5.0
1,False,4,63225802,29.753460078507704,13463312,-95.3676716198515,118,1,Entire home/apt,0.0
4,False,4,59849996,29.744533300236768,11422518,-95.45084800185252,375,15,Entire home/apt,4.5
2,False,4,24369562,29.78411295107411,10359833,-95.40269415044742,109,11,Entire home/apt,5.0
3,True,4,63146581,29.666799063518035,11849247,-95.46930670969232,5000,0,Entire home/apt,0.0
2,True,4,41856688,29.749986639986812,7937438,-95.35354040795471,137,65,Entire home/apt,5.0
3,False,4,246072,29.73891735664455,12814768,-95.37100140424049,95,3,Entire home/apt,5.0
3,False,4,459881,29.78930869910065,9879778,-95.38719251830148,75,20,Entire home/apt,5.0
2,False,4,15213490,29.752134336464987,7368754,-95.35347489202579,115,56,Entire home/apt,5.0
3,False,4,2382115,29.740218919274085,13139524,-95.37332631681333,259,3,Entire home/apt,4.5
1,False,4,16575058,29.781548557246232,6866186,-95.39594277231159,129,53,Entire home/apt,5.0
2,False,4,22625933,29.768423338340728,4358898,-95.35293992305023,155,97,Entire home/apt,5.0
