availability,date,listing_id,rate
True,2016-06-26,12384768,109.0
False,2016-06-27,12384768,109.0
False,2016-06-28,12384768,109.0
False,2016-06-29,12384768,112.0
False,2016-06-30,12384768,135.0
True,2016-07-01,12384768,109.0
False,2016-07-02,12384768,143.0
False,2016-07-03,12384768,143.0
True,2016-07-04,12384768,109.0
True,2016-07-05,12384768,109.0
True,2016-07-06,12384768,109.0
False,2016-07-07,12384768,120.0
False,2016-07-08,12384768,124.0
False,2016-07-09,12384768,124.0
False,2016-07-10,12384768,113.0
True,2016-07-11,12384768,109.0
True,2016-07-12,12384768,109.0
True,2016-07-13,12384768,111.0
False,2016-07-14,12384768,109.0
False,2016-07-15,12384768,109.0
False,2016-07-16,12384768,111.0
False,2016-07-17,12384768,133.0
False,2016-07-18,12384768,116.0
False,2016-07-19,12384768,116.0
True,2016-07-20,12384768,111.0
True,2016-07-21,12384768,111.0
False,2016-07-22,12384768,160.0
False,2016-07-23,12384768,159.0
False,2016-07-24,12384768,134.0
True,2016-07-25,12384768,111.0
False,2016-07-26,12384768,109.0
False,2016-07-27,12384768,109.0
False,2016-07-28,12384768,115.0
False,2016-07-29,12384768,123.0
True,2016-07-30,12384768,123.0
True,2016-07-31,12384768,111.0
True,2016-08-01,12384768,111.0
True,2016-08-02,12384768,111.0
True,2016-08-03,12384768,111.0
True,2016-08-04,12384768,111.0
True,2016-08-05,12384768,111.0
True,2016-08-06,12384768,111.0
True,2016-08-07,12384768,111.0
True,2016-08-08,12384768,111.0
False,2016-08-09,12384768,109.0
False,2016-08-10,12384768,109.0
False,2016-08-11,12384768,109.0
False,2016-08-12,12384768,123.0
False,2016-08-13,12384768,123.0
False,2016-08-14,12384768,109.0
False,2016-08-15,12384768,109.0
True,2016-08-16,12384768,109.0
True,2016-08-17,12384768,109.0
True,2016-08-18,12384768,109.0
True,2016-08-19,12384768,109.0
True,2016-08-20,12384768,109.0
True,2016-08-21,12384768,109.0
True,2016-08-22,12384768,109.0
True,2016-08-23,12384768,109.0
True,2016-08-24,12384768,109.0
True,2016-08-25,12384768,109.0
False,2016-08-26,12384768,111.0
False,2016-08-27,12384768,128.0
False,2016-08-28,12384768,129.0
False,2016-08-29,12384768,111.0
True,2016-08-30,12384768,109.0
True,2016-08-31,12384768,109.0
False,2016-09-01,12384768,127.0
False,2016-09-02,12384768,130.0
False,2016-09-03,12384768,130.0
False,2016-09-04,12384768,129.0
True,2016-09-05,12384768,109.0
True,2016-09-06,12384768,109.0
True,2016-09-07,12384768,109.0
True,2016-09-08,12384768,109.0
False,2016-09-09,12384768,129.0
False,2016-09-10,12384768,129.0
True,2016-09-11,12384768,109.0
True,2016-09-12,12384768,109.0
True,2016-09-13,12384768,109.0
True,2016-09-14,12384768,109.0
False,2016-09-15,12384768,119.0
False,2016-09-16,12384768,122.0
False,2016-09-17,12384768,122.0
False,2016-09-18,12384768,122.0
True,2016-09-19,12384768,109.0
True,2016-09-20,12384768,109.0
False,2016-09-21,12384768,118.0
False,2016-09-22,12384768,130.0
False,2016-09-23,12384768,132.0
False,2016-09-24,12384768,132.0
True,2016-09-25,12384768,109.0
False,2016-09-26,12384768,115.0
False,2016-09-27,12384768,109.0
False,2016-09-28,12384768,109.0
False,2016-09-29,12384768,117.0
False,2016-09-30,12384768,123.0
False,2016-10-01,12384768,123.0
False,2016-06-26,12112386,174.0
False,2016-06-27,12112386,238.0
True,2016-06-28,12112386,210.0
True,2016-06-29,12112386,175.0
False,2016-06-30,12112386,234.0
False,2016-07-01,12112386,300.0
False,2016-07-02,12112386,300.0
False,2016-07-03,12112386,229.0
False,2016-07-04,12112386,183.0
False,2016-07-05,12112386,151.0
True,2016-07-06,12112386,148.0
False,2016-07-07,12112386,234.0
False,2016-07-08,12112386,300.0
False,2016-07-09,12112386,300.0
False,2016-07-10,12112386,234.0
True,2016-07-11,12112386,113.0
False,2016-07-12,12112386,234.0
False,2016-07-13,12112386,234.0
False,2016-07-14,12112386,234.0
False,2016-07-15,12112386,300.0
False,2016-07-16,12112386,202.0
False,2016-07-17,12112386,143.0
